feature,importance_mean,importance_std
elo_diff,0.29799978357649515,0.00990650343946322
elo_abs_diff,0.03730723941141971,0.004662056685097565
tournament_importance,0.0019017942595240366,0.000703214701275805
win_rate_diff,0.0018511644659391813,0.0006420831620040806
defense_diff,0.0015916358535358333,0.00044785589564382325
goal_diff_recent_diff,0.0010854763878608508,0.00061043294113664
combined_defense,0.0007777866518332343,0.00043954327309202293
goal_diff_recent_abs_diff,0.0007510949770263454,0.0007204146362259119
defense_abs_diff,0.0007238910280373157,0.00025964732673509607
away_attack_rating,0.000588708996274101,0.00037269623744539196
away_draw_rate_recent,0.00047955776888799486,0.0005278425275231342
draw_rate_diff,0.0002727307549886815,0.00011738251117353298
away_win_rate_recent,0.00026057762799254204,0.0002693708725188395
home_draw_rate_recent,0.0002425816316478091,0.00027365410889589465
attack_abs_diff,0.00022038045877892376,0.0004967519790152805
home_elo,0.00018580714508593666,0.0007665147888457752
is_friendly,0.0001309035647253598,0.00030800315432861277
home_advantage,0.000127193293811656,0.00016390346852280884
home_form_points,6.977024325627301e-05,4.1743099128745946e-05
away_elo,4.793749108411571e-05,0.0010138988206348134
is_qualifier,2.890356381237691e-05,0.0002268064966692068
similar_draw_rate,4.552663251011779e-06,5.034702456203892e-05
is_close_form_match,0.0,0.0
is_close_elo_match,0.0,0.0
high_total_defense,0.0,0.0
is_world_cup,0.0,0.0
is_close_defense_match,0.0,0.0
similar_recent_goal_difference,0.0,0.0
is_close_attack_match,0.0,0.0
home_win_rate_recent,-1.680272355917278e-05,5.432792672830425e-05
drawish_profile,-2.296174080047564e-05,1.770073923953487e-05
neutral,-4.970970670270525e-05,0.0012960058481695067
form_diff,-6.928403305359599e-05,0.00014067695994751756
low_total_attack,-8.720047664101394e-05,3.733038748970794e-05
home_attack_rating,-0.00010419280887936644,0.00031270725155502525
away_form_points,-0.00010728140544675746,0.00046904687110599304
attack_diff,-0.0003838024387308847,0.0006206700753502174
form_abs_diff,-0.0004427688766681204,0.0003631043849707782
away_defense_rating,-0.0006487818552802782,0.0004196125027732272
away_goal_diff_recent,-0.0006732900838976486,0.0007828773932277374
home_defense_rating,-0.0007305240198025142,0.000345728774593935
home_goal_diff_recent,-0.0009513329400724802,0.0009733519878050438
combined_attack,-0.0015340207690933473,0.0005247320169482723
